open_time,open,high,low,close,volume
2021-06-17 00:00:00+00:00,2367.17,2460.0,2300.0,2373.14,5779.7195
2021-06-18 00:00:00+00:00,2369.74,2379.38,2138.76,2226.33,8409.2971
2021-06-19 00:00:00+00:00,2233.4,2277.92,2162.08,2164.81,5370.95624
2021-06-20 00:00:00+00:00,2164.09,2277.06,2041.37,2242.41,7944.96618
2021-06-21 00:00:00+00:00,2244.54,2259.7,1865.59,1891.86,25047.32255
2021-06-22 00:00:00+00:00,1887.14,1997.42,1700.51,1878.64,21416.83509
2021-06-23 00:00:00+00:00,1878.77,2043.5,1823.41,1968.04,12612.13554
2021-06-24 00:00:00+00:00,1969.77,2035.78,1885.23,1987.68,6232.69322
2021-06-25 00:00:00+00:00,1990.56,2020.24,1791.37,1810.18,11706.31915
2021-06-26 00:00:00+00:00,1809.46,1852.06,1718.0,1828.69,10266.34832
2021-06-27 00:00:00+00:00,1831.4,1984.9,1807.14,1983.0,6181.65537
